empId,courseId,sem,year
112,22,even,2020
112,22,odd,2021
112,22,even,2021
112,22,odd,2022
112,22,even,2022
52,23,odd,2019
52,23,even,2019
52,23,odd,2020
52,23,even,2020
52,23,odd,2021
52,23,even,2021
52,23,odd,2022
52,23,even,2022
112,24,odd,2019
112,24,even,2019
112,24,odd,2020
112,24,even,2020
112,24,odd,2021
112,24,even,2021
112,24,odd,2022
112,24,even,2022
117,25,odd,2019
117,25,even,2019
117,25,odd,2020
117,25,even,2020
117,25,odd,2021
117,25,even,2021
117,25,odd,2022
117,25,even,2022
3,11,odd,2019
3,11,even,2019
3,11,odd,2020
3,11,even,2020
3,11,odd,2021
3,11,even,2021
3,11,odd,2022
3,11,even,2022
126,12,odd,2019
126,12,even,2019
126,12,odd,2020
126,12,even,2020
126,12,odd,2021
126,12,even,2021
126,12,odd,2022
126,12,even,2022
110,13,odd,2019
110,13,even,2019
110,13,odd,2020
110,13,even,2020
110,13,odd,2021
110,13,even,2021
110,13,odd,2022
110,13,even,2022
70,14,odd,2019
70,14,even,2019
70,14,odd,2020
70,14,even,2020
70,14,odd,2021
70,14,even,2021
70,14,odd,2022
70,14,even,2022
126,15,odd,2019
126,15,even,2019
126,15,odd,2020
126,15,even,2020
126,15,odd,2021
126,15,even,2021
126,15,odd,2022
126,15,even,2022
118,42,odd,2019
118,42,even,2019
118,42,odd,2020
118,42,even,2020
118,42,odd,2021
118,42,even,2021
118,42,odd,2022
118,42,even,2022
133,43,odd,2019
133,43,even,2019
133,43,odd,2020
133,43,even,2020
133,43,odd,2021
133,43,even,2021
133,43,odd,2022
133,43,even,2022
81,44,odd,2019
81,44,even,2019
81,44,odd,2020
81,44,even,2020
81,44,odd,2021
81,44,even,2021
81,44,odd,2022
81,44,even,2022
128,45,odd,2019
128,45,even,2019
128,45,odd,2020
128,45,even,2020
128,45,odd,2021
128,45,even,2021
128,45,odd,2022
128,45,even,2022
37,46,odd,2019
37,46,even,2019
37,46,odd,2020
37,46,even,2020
37,46,odd,2021
37,46,even,2021
37,46,odd,2022
37,46,even,2022
71,47,odd,2019
71,47,even,2019
71,47,odd,2020
71,47,even,2020
71,47,odd,2021
71,47,even,2021
71,47,odd,2022
71,47,even,2022
23,48,odd,2019
23,48,even,2019
23,48,odd,2020
23,48,even,2020
23,48,odd,2021
23,48,even,2021
23,48,odd,2022
23,48,even,2022
50,49,odd,2019
50,49,even,2019
50,49,odd,2020
50,49,even,2020
50,49,odd,2021
50,49,even,2021
50,49,odd,2022
50,49,even,2022
64,50,odd,2019
64,50,even,2019
64,50,odd,2020
64,50,even,2020
64,50,odd,2021
64,50,even,2021
64,50,odd,2022
64,50,even,2022
143,51,odd,2019
143,51,even,2019
143,51,odd,2020
143,51,even,2020
143,51,odd,2021
143,51,even,2021
143,51,odd,2022
143,51,even,2022
15,6,odd,2019
15,6,even,2019
15,6,odd,2020
15,6,even,2020
15,6,odd,2021
15,6,even,2021
15,6,odd,2022
15,6,even,2022
63,7,odd,2019
63,7,even,2019
63,7,odd,2020
63,7,even,2020
63,7,odd,2021
63,7,even,2021
63,7,odd,2022
63,7,even,2022
29,8,odd,2019
29,8,even,2019
29,8,odd,2020
29,8,even,2020
29,8,odd,2021
29,8,even,2021
29,8,odd,2022
29,8,even,2022
30,9,odd,2019
30,9,even,2019
30,9,odd,2020
30,9,even,2020
30,9,odd,2021
30,9,even,2021
30,9,odd,2022
30,9,even,2022
47,10,odd,2019
47,10,even,2019
47,10,odd,2020
47,10,even,2020
47,10,odd,2021
47,10,even,2021
47,10,odd,2022
47,10,even,2022
141,1,odd,2019
141,1,even,2019
141,1,odd,2020
141,1,even,2020
141,1,odd,2021
141,1,even,2021
141,1,odd,2022
141,1,even,2022
142,2,odd,2019
142,2,even,2019
142,2,odd,2020
142,2,even,2020
142,2,odd,2021
142,2,even,2021
142,2,odd,2022
142,2,even,2022
79,3,odd,2019
79,3,even,2019
79,3,odd,2020
79,3,even,2020
79,3,odd,2021
79,3,even,2021
79,3,odd,2022
79,3,even,2022
10,4,odd,2019
10,4,even,2019
10,4,odd,2020
10,4,even,2020
10,4,odd,2021
10,4,even,2021
10,4,odd,2022
10,4,even,2022
10,5,odd,2019
10,5,even,2019
10,5,odd,2020
10,5,even,2020
10,5,odd,2021
10,5,even,2021
10,5,odd,2022
10,5,even,2022
