rollNo,courseId,sem,year,grade
19045003,15,odd,2019,A-
19045003,5,odd,2020,A
19045003,20,even,2022,B-
19045003,11,odd,2019,C-
19025006,39,even,2021,C
19045005,21,odd,2022,C-
19045005,5,even,2021,A
19045005,27,odd,2019,C
19045005,4,odd,2020,B-
19045005,29,even,2021,C-
19095006,36,even,2019,A
19095006,50,odd,2020,C
19095006,35,odd,2022,B-
19095006,7,even,2022,C-
19095006,7,odd,2020,A
19095006,42,odd,2022,B-
19095007,7,odd,2020,C-
19095007,2,even,2019,B-
19095007,24,even,2020,A-
19095007,46,even,2021,C
19095007,38,even,2020,C-
19095007,39,odd,2020,C-
19015004,47,odd,2019,C-
19015004,38,odd,2019,B-
19015004,35,odd,2022,B-
19015004,16,even,2022,C-
19015004,22,odd,2021,B-
19015004,28,even,2021,B
19015004,2,even,2020,C
19015004,21,odd,2022,A-
19075009,47,odd,2022,C
19045008,29,even,2022,C-
19045008,23,even,2020,A
19045008,22,even,2020,A-
19045008,15,even,2019,A-
19045008,48,odd,2019,A-
19045008,18,odd,2020,A-
19045008,40,odd,2021,C-
19045008,45,even,2019,A-
19095009,16,even,2019,C
19095009,23,even,2021,C-
19095009,47,even,2020,C-
19095009,9,odd,2019,B-
19095009,34,odd,2019,A-
19095009,18,odd,2020,C-
19095009,26,odd,2020,C-
19095009,44,even,2021,A
19095009,20,even,2020,C-
19045009,14,odd,2019,B-
19045009,12,even,2020,C-
19045009,25,odd,2021,C
19045009,5,odd,2020,A-
19045009,41,odd,2019,A-
19045009,22,even,2020,A
19045009,38,even,2019,B
19045009,24,odd,2021,C
19045009,26,even,2019,A
19025009,13,even,2021,A
19025009,48,even,2020,B
19025009,51,even,2022,C
19025009,19,even,2019,C
19025009,4,odd,2022,C
19025009,12,odd,2022,A-
19025009,13,even,2022,C
19055004,29,odd,2021,A-
19055004,33,even,2019,B
19055004,31,odd,2021,B
19055004,51,even,2021,A
19055004,46,odd,2021,B
19055004,41,even,2021,C-
19055004,23,even,2021,C
19055004,14,even,2021,B
19055004,48,odd,2021,C
19065008,19,even,2020,C-
19065008,10,even,2020,B
19065008,39,even,2021,B
19065008,4,odd,2020,B-
19065008,38,odd,2022,A-
19025011,28,odd,2022,C-
19025011,48,even,2022,A-
19025011,33,even,2019,C-
19025011,35,odd,2021,C-
19025011,49,odd,2022,B
19025011,24,even,2019,C-
19025011,28,odd,2021,B-
19025011,31,even,2020,C-
19025011,11,odd,2021,A
19025011,43,even,2022,B
19045011,10,odd,2020,C
19045011,4,even,2019,B
19045011,18,even,2019,C-
19045011,32,even,2021,A-
19045011,49,even,2020,A-
19045011,28,even,2020,B
19035006,37,even,2020,B-
19035006,8,even,2020,C
19035006,16,even,2020,C
19035006,8,odd,2022,A-
19035006,20,odd,2021,B
19035006,39,odd,2021,C-
19035006,25,odd,2022,C-
19035006,12,odd,2019,A
19055007,31,even,2021,A
19055007,36,odd,2021,C-
19055007,8,odd,2022,B-
19085009,33,odd,2021,C
19085009,4,odd,2020,C-
19085009,5,odd,2019,C
19085009,44,odd,2021,B
19085009,30,odd,2022,B
19085009,22,even,2020,A
19075010,9,odd,2019,A-
19075010,49,even,2020,A-
19075010,7,odd,2022,C
19075010,41,even,2022,B-
19075010,29,odd,2022,C
19075010,10,even,2022,C-
19075010,18,even,2022,B-
19075010,27,odd,2021,B
19075010,25,even,2020,B-
19015006,33,odd,2020,C
19015006,9,odd,2020,A-
19015006,38,even,2021,A
19015006,29,even,2019,C
19015006,46,even,2021,B
19015006,26,even,2020,C
19015006,15,even,2020,A-
19045014,25,odd,2019,C-
19045014,18,odd,2020,A-
19045014,49,even,2021,B-
19045014,44,odd,2019,C
19045014,4,even,2019,B-
19045014,28,odd,2019,B-
19055009,38,odd,2020,B
19055009,6,odd,2020,C
19055009,5,odd,2019,C
19055009,47,even,2022,B
19055009,50,even,2022,A
19055009,31,odd,2022,A-
19055009,46,odd,2019,B-
19055009,6,even,2022,B-
19055009,36,even,2020,B
19095012,6,odd,2019,A-
19095012,18,even,2022,B
19095012,46,even,2021,C-
19085012,29,even,2019,A
19085012,34,even,2020,C
19085012,17,even,2021,A-
19085013,12,even,2021,B
19085013,4,odd,2021,A
19085013,24,even,2019,C
19085013,2,odd,2021,B-
19085013,3,even,2022,B
19085013,8,odd,2019,B-
19095014,33,odd,2022,A-
19095014,45,even,2022,A-
19035011,34,even,2021,C
19035011,19,odd,2020,B-
19035011,34,odd,2020,B-
19035011,8,odd,2021,B
19035011,31,even,2019,B-
19035011,1,odd,2019,A
19035011,34,odd,2019,A-
19035011,1,even,2019,A
19035012,8,odd,2022,B-
19035012,15,odd,2019,A-
19035012,23,odd,2019,B
19035012,16,even,2020,A-
19025014,32,odd,2022,C
19025014,15,odd,2019,A-
19025014,31,even,2019,C
19025014,5,even,2021,B-
19025014,35,even,2021,B-
19025014,18,even,2021,A-
19025014,30,odd,2021,B-
19025014,5,odd,2022,C-
19095016,1,even,2022,B
19095016,10,odd,2022,C
19095016,6,odd,2021,B
19045017,21,odd,2021,A
19055012,38,even,2022,B-
19055012,11,odd,2020,B
19055012,15,even,2020,C
19055012,24,even,2019,B-
19055012,16,even,2019,B-
19045018,14,odd,2019,C
19045018,11,odd,2021,B-
19045018,2,even,2019,B-
19045018,25,even,2021,A-
19045018,25,odd,2021,C
19045018,44,odd,2020,C
19045018,50,odd,2019,A-
19045018,51,odd,2019,B-
19045018,22,even,2022,B-
19035015,20,odd,2021,A-
19035015,23,odd,2021,C
19035015,43,odd,2022,A
19055014,47,odd,2019,A
19055014,51,odd,2019,C-
19055014,40,odd,2022,C-
19055014,43,even,2019,C
19085018,27,even,2020,A
19085018,37,odd,2021,C
19085018,1,even,2021,A
19085018,30,odd,2022,C-
19085018,45,even,2022,A-
19085018,26,odd,2019,B
19085018,50,even,2021,C
19085018,23,odd,2021,B-
19085018,8,even,2019,B
19085018,13,odd,2021,B-
20065002,33,even,2020,A-
20065002,34,even,2020,B-
20065002,48,odd,2022,A
20025001,47,odd,2022,C
20025001,1,even,2020,A-
20025001,3,even,2020,B
20025001,41,odd,2021,A-
20015001,22,odd,2020,A-
20015001,22,even,2021,C
20015001,10,even,2020,B
20015001,16,odd,2021,B
20085004,50,even,2020,B
20025002,36,odd,2022,A
20025002,45,odd,2020,C
20025002,38,odd,2022,C
20085006,38,odd,2022,C-
20085006,37,even,2020,B-
20085006,24,even,2020,B
20085006,9,even,2022,B-
20025003,49,odd,2022,B-
20025003,15,even,2022,C-
20025003,20,even,2021,A
20025003,24,odd,2020,C-
20025003,42,even,2021,C
20035004,15,even,2021,B-
20095005,29,odd,2022,A
20095005,13,odd,2021,C
20095005,35,even,2022,A-
20095005,47,odd,2022,A-
20065006,42,even,2020,B
20065006,38,odd,2021,C-
20065006,18,odd,2022,C
20065006,13,even,2021,A
20065006,14,odd,2022,B
20065006,44,odd,2020,C-
20065006,9,odd,2021,C-
20075004,14,odd,2022,A-
20075004,51,even,2021,A
20075004,2,odd,2020,C
20075004,48,odd,2020,B-
20075005,40,odd,2020,B-
20075005,20,odd,2021,B
20075005,11,odd,2022,A
20075005,12,odd,2020,B
20075005,40,odd,2021,A
20075005,43,even,2020,C-
20075005,42,even,2021,A-
20015003,12,even,2020,B-
20015003,2,even,2021,A-
20015003,34,odd,2020,A-
20015003,21,odd,2021,C-
20015003,25,odd,2022,A-
20015003,27,even,2022,C
20015003,35,even,2022,C-
20075006,22,even,2021,B-
20075006,3,even,2021,A-
20075006,32,even,2022,B
20075006,19,even,2022,C
20075006,4,even,2020,A-
20085007,15,odd,2022,C
20085007,32,even,2021,C
20085007,27,even,2020,B-
20085008,1,odd,2021,B
20025007,12,even,2021,B-
20025007,29,odd,2020,C-
20025007,17,odd,2020,B-
20025007,28,even,2020,C-
20025007,5,odd,2020,C
20025007,36,even,2020,A-
20025007,12,odd,2021,B
20075007,25,even,2020,C-
20075007,43,even,2021,A-
20075007,31,odd,2021,C-
20075007,45,even,2021,B-
20025008,12,odd,2022,A-
20025008,37,odd,2021,C-
20025008,35,odd,2020,B
20025008,19,even,2021,C
20025008,12,odd,2020,C
20025008,23,even,2021,A-
20035005,3,even,2020,A
20035005,11,odd,2020,C-
20075008,27,even,2022,C
20075008,39,even,2021,C-
20075008,40,even,2022,C-
20075008,51,even,2021,A-
20075008,18,even,2022,B
20075008,10,odd,2020,C-
20075008,1,odd,2021,A
20065010,40,even,2021,B-
20065010,27,odd,2022,A-
20065010,30,even,2022,B-
20065010,15,odd,2022,C-
20065010,38,even,2021,B
20065010,3,odd,2022,C
20055006,36,odd,2020,C
20025012,21,even,2020,B-
20015005,26,even,2022,B
20015005,12,even,2021,A
20015005,14,even,2020,A
20055008,51,even,2020,A
20055008,51,even,2021,A-
20055008,51,odd,2022,A
20055008,49,odd,2020,B-
20055008,22,even,2021,C-
20055008,31,even,2020,A-
20035007,15,odd,2021,B
20035007,21,odd,2021,A-
20035007,9,odd,2022,C-
20035007,12,odd,2021,A
20035007,51,odd,2022,B-
20035007,44,odd,2022,B-
20035007,5,odd,2022,C
20085010,51,odd,2022,C
20085010,22,even,2021,A-
20085010,42,odd,2022,C
20085010,41,even,2022,A
20045013,1,even,2022,B-
20045013,24,even,2020,C
20045013,50,even,2021,A
20045013,31,even,2021,A
20045013,9,odd,2020,B-
20045013,31,odd,2020,C
20045015,43,odd,2021,C-
20015007,5,odd,2021,C-
20065013,7,odd,2022,A
20065013,5,odd,2022,B
20015008,44,odd,2021,C-
20015008,17,odd,2022,B
20015008,13,even,2022,A
20015008,14,even,2021,C-
20015008,14,odd,2022,A
20015009,45,odd,2020,A
20015009,18,even,2021,C
20065014,49,odd,2021,C
20055010,11,odd,2021,C-
20055010,3,odd,2022,C
20055010,40,even,2022,A-
20055010,12,odd,2022,A
20055010,21,odd,2020,A
20055010,42,odd,2022,C-
20055010,6,even,2021,B-
20035009,12,odd,2020,C
20035009,1,odd,2022,A
20035009,29,even,2022,A
20035009,34,even,2022,B-
20015010,48,even,2021,C
20095015,9,odd,2020,B-
20095015,5,odd,2022,B-
20095015,24,odd,2021,A-
20095015,31,odd,2020,A-
20095015,23,odd,2021,C-
20085014,48,even,2022,B
20085014,1,odd,2020,B-
20085014,23,odd,2022,B-
20085014,23,even,2020,A
20085014,50,even,2020,B-
20085014,48,even,2020,C-
20085014,8,even,2020,C
20065016,25,odd,2022,C-
20065016,29,even,2022,B-
20065016,15,odd,2021,A
20065016,22,even,2022,A
20065016,26,even,2020,C
20085015,4,odd,2022,A
20085015,24,odd,2021,B-
20085015,39,even,2021,B
20065018,25,even,2022,C-
20065018,36,even,2022,B-
20065018,16,even,2020,B-
20065018,6,even,2021,A-
20065018,37,even,2020,B-
20065018,41,even,2022,B
20065018,41,even,2020,C
20025016,3,even,2020,C
20055013,3,even,2022,B-
20055013,15,odd,2020,C
20055013,17,odd,2022,C-
20055013,24,odd,2020,B-
20035014,47,odd,2022,B
20035014,48,even,2021,C-
20095018,36,odd,2021,A-
20095018,19,odd,2021,B-
20095018,36,even,2020,C
20095018,3,even,2022,C-
20095018,44,odd,2020,C-
20095018,27,odd,2020,B
20085017,38,even,2020,B-
20075013,45,odd,2022,B-
20095021,8,odd,2022,A
20095021,45,even,2021,B
20095021,51,odd,2021,B
20065020,25,even,2022,C
20055015,18,even,2022,A-
20055015,21,odd,2020,A
20055015,37,even,2020,C
20055015,37,even,2021,C
20055015,9,odd,2022,B
20055015,23,even,2021,A
20025017,32,odd,2022,C
20025018,36,even,2022,C-
20025018,34,even,2021,B
20025018,49,even,2020,C-
20025018,2,even,2020,C
20025018,38,odd,2021,B-
20025018,8,even,2022,A
21065001,50,even,2022,C
21075001,31,odd,2022,C-
21045001,38,odd,2022,B-
21045001,1,odd,2021,B
21045001,8,odd,2021,A-
21045001,27,odd,2021,A
21065003,26,odd,2021,B
21065003,30,even,2022,A
21065003,50,even,2021,C
21065003,43,even,2021,A
21035001,7,even,2021,A
21065004,48,even,2022,C
21065004,11,odd,2022,C-
21065004,21,even,2021,C-
21055002,19,odd,2021,B-
21055002,51,odd,2021,B
21055002,33,odd,2022,A
21055002,18,even,2022,A-
21035002,46,odd,2022,B
21015002,1,odd,2022,A
21015002,28,even,2021,A-
21095003,33,odd,2021,C-
21095003,23,even,2022,A-
21095003,6,odd,2022,C-
21095003,7,odd,2021,B-
21055003,22,odd,2021,B
21055003,15,odd,2022,A
21085005,10,even,2021,C-
21085005,22,odd,2022,A-
21085005,39,even,2022,B
21095004,49,odd,2021,C
21095004,13,odd,2021,C
21045002,8,even,2021,C
21045002,16,even,2021,C
21045002,1,even,2022,A
21045004,31,odd,2022,C
21045006,18,even,2022,B
21045007,32,odd,2021,A-
21045007,28,even,2021,A
21045007,19,odd,2022,C-
21045007,3,even,2022,C
21095008,14,odd,2021,B-
21095008,31,odd,2021,A-
21065007,15,odd,2022,B
21065009,26,even,2022,C
21065009,39,odd,2022,C-
21065009,50,odd,2022,C-
21065009,10,odd,2021,A
21025010,18,odd,2021,B-
21055005,51,even,2022,B
21055005,9,even,2022,A
21055005,43,odd,2022,A-
21045010,1,even,2022,A
21045010,30,even,2022,A-
21045010,43,even,2022,A-
21045010,17,odd,2022,C
21045012,30,odd,2022,B-
21045012,25,odd,2021,C-
21045012,6,odd,2021,B-
21075011,33,even,2022,C
21095010,4,odd,2021,C-
21095010,34,odd,2021,A
21095010,23,even,2022,B-
21035008,3,even,2022,C-
21035008,15,odd,2022,C
21035008,3,even,2021,A
21035008,42,odd,2022,A
21075012,32,odd,2022,C
21075012,18,odd,2021,B-
21075012,1,even,2021,A
21075012,30,even,2022,A
21085011,51,even,2021,B-
21085011,43,odd,2022,C
21085011,24,even,2021,B
21065011,33,even,2021,A
21065011,1,odd,2022,A
21065011,10,odd,2021,B
21065011,2,odd,2021,C-
21095011,12,odd,2021,B
21095011,14,even,2022,B-
21065012,47,odd,2022,A
21065012,32,odd,2022,A
21065012,16,odd,2022,B
21025013,39,even,2021,A-
21025013,30,even,2022,A-
21025013,16,odd,2022,B-
21025013,49,odd,2021,A-
21045016,1,odd,2021,B-
21045016,16,even,2021,B
21045016,19,even,2022,C
21065015,11,even,2021,A
21065015,35,odd,2022,A-
21065015,6,odd,2022,B-
21065015,4,odd,2021,B-
21095013,7,even,2022,B-
21035010,50,even,2022,A
21035010,23,even,2022,A
21035010,22,even,2021,A-
21055011,9,odd,2021,A
21015011,6,odd,2021,A
21015011,41,odd,2022,C
21015011,35,odd,2022,C-
21035013,11,odd,2021,A-
21035013,4,even,2021,A-
21035013,24,even,2022,A
21035013,13,even,2021,A-
21065017,39,odd,2022,B-
21065017,1,even,2021,A-
21065017,51,odd,2022,B
21065017,9,odd,2021,C
21025015,9,even,2021,A
21025015,36,even,2022,C-
21025015,17,odd,2022,C
21095017,36,even,2021,B-
21095017,23,odd,2021,C
21085016,36,even,2022,B
21085016,16,even,2021,C
21085016,36,even,2021,C
21095019,10,even,2022,A
21095019,8,odd,2021,C
21065019,31,even,2022,C
21095020,48,even,2021,B-
21095020,43,even,2022,C
21095020,1,odd,2022,C-
21045019,36,odd,2022,B
21045019,46,odd,2022,C-
